	20071227152221	theroomz	Room 45	riting posts, shoutbox and more)! If you have problems or you want to know, what to do step by step, click HERE or write in "Free section" board. Status : active ; Progress : none Room 45 is ready to play! *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat Status : ON ; 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Roo	http://theroomz.19.forumer.com:80/a/
	20071227152221	theroomz	TheRoomz	roblems or you want to know, what to do step by step, click HERE or write in "Free section" board. Status : active ; Progress : none Room 45 is ready to play! *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat Status : ON ; 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. 21 Aug - Room 43 is ready.	http://theroomz.19.forumer.com:80/a/
	20071227152221	theroomz	Stachu	s : active ; Progress : none Room 45 is ready to play! *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat Status : ON ; 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. 21 Aug - Room 43 is ready. 4 Aug - New release - roomz 41 & 42 are ready. 26 Jul - Room 40 and Bonus Room 3 awaits the challenge	http://theroomz.19.forumer.com:80/a/
	20071227152221	theroomz	Room 45	 - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat Status : ON ; 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. 21 Aug - Room 43 is ready. 4 Aug - New release - roomz 41 & 42 are ready. 26 Jul - Room 40 and Bonus Room 3 awaits the challenge. To see whole history - click HERE Check this board often - you'll get up-to-date information about The Roomz project. Free section 	http://theroomz.19.forumer.com:80/a/
	20071227152221	theroomz	room 44	 PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat Status : ON ; 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. 21 Aug - Room 43 is ready. 4 Aug - New release - roomz 41 & 42 are ready. 26 Jul - Room 40 and Bonus Room 3 awaits the challenge. To see whole history - click HERE Check this board often - you'll get up-to-date information about The Roomz project. Free section If you are still unregistered and have a	http://theroomz.19.forumer.com:80/a/
	20080226032406	theroomz	TheRoomz	none We're still having troubles with loading TR in FireFox, so please use IE instead (I know, I hate IE too but meh, I can offer you Maxthon browser instead) *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. To see whole history - click HERE Check 	http://theroomz.19.forumer.com:80/a/
	20080226032406	theroomz	Stachu	 too but meh, I can offer you Maxthon browser instead) *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. To see whole history - click HERE Check this board often - you'll get up-to-date information about The Roomz project. Free section If you are 	http://theroomz.19.forumer.com:80/a/
	20080226032406	theroomz	Room 45	*** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. To see whole history - click HERE Check this board often - you'll get up-to-date information about The Roomz project. Free section If you are still unregistered and have any questions, write here. The ROOMZ What is it? General information about THE ROOMZ projec	http://theroomz.19.forumer.com:80/a/
	20080226032406	theroomz	room 44	posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. To see whole history - click HERE Check this board often - you'll get up-to-date information about The Roomz project. Free section If you are still unregistered and have any questions, write here. The ROOMZ What is it? General information about THE ROOMZ project and one funny thing . Announcements Al	http://theroomz.19.forumer.com:80/a/
	20081221110346	theroomz	TheRoomz	ne ; We're still having troubles with loading TR in FireFox, so please use IE instead (I know, I hate IE too but meh, I can offer you Maxthon browser instead) *** >>Let's chat on #TheRoomz IRC channel ! More info HERE *** *** >>Remember - if u have more than 10 posts, you can PM me (Stachu) or RG365 with a request that u would like to have a possibility to talk in a ShoutBox! *** Test Chat 1 Jun - Bonus Room 5 is ready. 26 Dec - Room 45 is done. 14 Sep - New release - room 44 awaits. 28 Aug - Bonus Room 4 saw the daylight. To see wh	http://theroomz.19.forumer.com:80/a/
