topic_id	mapped_title	timestamp	token	context
32	3	20080208155312	//theroomz.19.forumer.com/viewtopic.php	"osts: 50
 yeah, tried that and cookies too -- still nada. 
 Back to top 
 .:Stachu:. 
 Posted: 
 Fri Oct 27, 2006 9:53 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1347
 Location: Hell 
 If You've got problem, please write about it here: 
 http://theroomz.19.forumer.com/viewtopic.php?t=33 
thank You 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +4) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/3) 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 dante 
 Posted: 
 Sat Oct 28, 2006 6:27 am   
 --> 
 Little roomer
 Joined: 24 Oct 2006
 Posts: 11
 after getting things to balance, the most obvious answer (or two) to what's revealed doesn't work at all as the next code. is it something less obvious or do i have to do something else before I get to the c"
48	2	20080208155557	//theroomz.19.forumer.com/viewtopic.php	"s no topic on room 21 plz i'm thinking i must be the only 1 who can't get out lol 
 Back to top 
 .:Stachu:. 
 Posted: 
 Mon Jan 15, 2007 4:08 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1347
 Location: Hell 
 I think You just missed it 
 http://theroomz.19.forumer.com/viewtopic.php?t=55 
and btw. WELCOME BACK 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +4) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/3) 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 unicornseraph 
 Posted: 
 Tue Jan 16, 2007 9:00 am   
 --> 
 Roomz addict
 Joined: 24 Oct 2006
 Posts: 72
 thankyou stachu :)its gr8 to be back.also thanx for the link.hmmm well i'm still stuck lol.any clues would be appreciated ppl 
 Back to top 
 NiPPiTT 
 Posted: 
 Thu Mar 01, 2007 9:11 am  "
109	1	20080208154230	//theroomz.19.forumer.com/viewtopic.php	"el stupid but i cant actually find where the rules are so i can read them... will somebody tell me? 
 Back to top 
 Jim Gamma 
 Posted: 
 Wed Nov 28, 2007 11:30 pm   
 --> 
 Appreciated Helper
 Joined: 17 Oct 2006
 Posts: 841
 Location: London, England 
 http://theroomz.19.forumer.com/viewtopic.php?t=4 
_________________
I am available to answer PMs requesting hints. I will NOT give out answers, just major hints. 
PROGRESS: 45/45 
BONUS: 1-4 
KISH: 1-2 
ERI: 1 (3rd note) 
JAN: 5 
 Back to top 
 Kivvy 
 Posted: 
 Thu Nov 29, 2007 2:47 am   
 --> 
 Wanderer
 Joined: 22 Nov 2007
 Posts: 3
 Danke! heehee i already broke a rule (english only) 
 No worries, we all know what ""Danke"" means. - Jim 
so yeah i'm completely new to this and i don't even know what double posting is. would someone tell me please? 
 Thanks for the feedback, will update the rules. 
 PM sent by Stachu ;] 
 Back to top 
 andi"
109	1	20080208154230	//theroomz.19.forumer.com/viewtopic.php	"p 
 andiw2 
 Posted: 
 Tue Jan 08, 2008 8:36 am   
 --> 
 Little roomer
 Joined: 06 Jan 2008
 Posts: 17
 will someone pm me please. have the names i'm supposed to have, but i still don't know what to do with them. thx 
 22 Roomz in 6 hours? : Please read http://theroomz.19.forumer.com/viewtopic.php?t=297 - Sas 
 Back to top 
 Nytris Oxyde 
 Posted: 
 Sun Jan 27, 2008 7:08 am   
 --> 
 Wanderer
 Joined: 19 Jul 2007
 Posts: 3
 Okay, only like my second post here, but I just got back into this one after beating Zest. 
Got the f---- figured out, put the word in, stuck on the note afterwards. I see no hints here about it, so I was wondering if someone could provide me with a little help on this part. 
EDIT: Never mind, really doesn't need any hints. At the puzzle now. 
 Back to top 
 bloodwolf2190 
 Posted: 
 Fri Feb 08, 2008 1:46 am   
 --> 
 Wanderer
 Joined: 08 Feb 2008
 Posts: 1
 i finished th"
164	2	20080208154823	//hrsbstaff.ednet.ns.ca/norril/pedmas.htm	"omz: 44/45 
Bonus Roomz: 4/4 
 Feel Free to PM me. WILL NOT SPOIL 
--------------------------- 
 Back to top 
 .:Stachu:. 
 Posted: 
 Sat Aug 04, 2007 10:28 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1347
 Location: Hell 
 To clear it: 
 http://hrsbstaff.ednet.ns.ca/norril/pedmas.htm 
 2. The general rule is to use the following anachronism: BEDMAS (in English) or PEDMAS (en francais) 
 http://en.wikipedia.org/wiki/Order_of_operations 
Division and Multiplication is on the same level, so it can be PEDMAS, PEMDAS, BEDMAS, BEMDAS. 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +4) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/3) 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 cuki 
 Posted: 
 Sat Aug 04, 2007 10:55 pm   
 --> 
 Roomer of roome"
58	Room 22 - Hot Sun	20080208155714	//theroomz.19.forumer.com/viewtopic.php	"i's miniR: A....... note (my 2nd) 
always love roomz!!!! (and their creators) 
 Back to top 
 .:Stachu:. 
 Posted: 
 Fri Jan 26, 2007 11:17 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1347
 Location: Hell 
 Pay attention to this thread: 
 http://theroomz.19.forumer.com/viewtopic.php?t=24&start=25 
All news about coming roomz are there. 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +4) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/3) 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 Jim Gamma 
 Posted: 
 Fri Jan 26, 2007 11:54 pm   
 --> 
 Appreciated Helper
 Joined: 17 Oct 2006
 Posts: 841
 Location: London, England 
 Cuki: Good, then work out why that thing has lit up, and what this suggests about the rest of the thing that's appeared. 
_________________"
124	13	20080208154411	//theroomz.19.forumer.com/viewtopic.php	"e notes use Polish grammar Nothing that should prevent you from completing the room tho! 
Maths? Maths is the correct word for the abbreviation of mathematics. Only people from the US say 'math'. We have a thread on this very topic if you are interested! http://theroomz.19.forumer.com/viewtopic.php?t=131 
:p 
_________________
Progress: 45/45 + Bonus 4/4 
PM if you need help! (include details of where/what you are stuck on) - I don't give out answers though. 
 Back to top 
 johnp74 
 Posted: 
 Fri Jan 04, 2008 6:09 am   
 --> 
 Banned :/
 Joined: 02 Jan 2008
 Posts: 21
 thanks didnt know that bit... thought maybe it was significant some how.. but i think im starting to get this room... but something still just isnt adding up. 
I just cant work out the significance of the little y now. 
Wait a minute... i think i got it now.. I just remember what the little y represents if im right. now the pa"
5	1	20080208155644	//theroomz.19.forumer.com/viewtopic.php	" the answer,,,i cant seem 2 figure it out at all 
 Back to top 
 cams 
 Posted: 
 Thu Nov 08, 2007 4:17 pm   
 --> 
 Supreme roomer
 Joined: 10 Jun 2007
 Posts: 307
 Location: South Korea 
 sorry but you won't get answers here. 
read what happened here 
 http://theroomz.19.forumer.com/viewtopic.php?t=174&postdays=0&postorder=asc&start=0 
just for fun 
_________________
roomz complete: 
normal 44/45 
bonus 1, 2, 3, 4 
kish 2/3 eri 2/2 RG 1 jan 5/10 
 Back to top 
 Arik 
 Posted: 
 Thu Nov 08, 2007 4:27 pm   
 --> 
 Roomz addict
 Joined: 21 Oct 2007
 Posts: 82
 Location: Whereabouts are classified 
 We can give you a hint however If you PM us your situation. 
 Back to top 
 ch1ps0h0y 
 Posted: 
 Fri Nov 09, 2007 7:50 am   
 --> 
 Little roomer
 Joined: 17 Oct 2007
 Posts: 15
 it's very easy actually, if you've looked at everything. It's probably the first code you learn in your life. Clue: how many letters are in the alphabet?"
421	Announcement: [ Poll ] The Roomz 2.0?	20110619154353	//theroomzeclipse.org/forum/index.php	"10 1:02 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1530
 Location: Hell 
 TRE server is up! 
Visit: http://theroomzeclipse.org 
I'm locking this topic. If you want to stay up-to-date with updates and creation progress, visit TRE forum: 
 http://theroomzeclipse.org/forum/index.php 
 BIG BREAK! 
First 10 people who register on TRE forum will have a possibility to TEST FIRST TRE ROOM ! 
Don't hesitate, join TRE community NOW! 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +5) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/10), puzz_hunt's (many) :p 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 Display posts from previous: All Posts 1 Day 7 Days 2 Weeks 1 Month 3 Months 6 Months 1 Year   Oldest First Newest First   
 All times are GMT + 1 H"
421	Announcement: [ Poll ] The Roomz 2.0?	20120215154140	//theroomzeclipse.org/forum/index.php	"10 1:02 pm   
 --> 
 Lord of The Roomz
 Joined: 22 Sep 2006
 Posts: 1534
 Location: Hell 
 TRE server is up! 
Visit: http://theroomzeclipse.org 
I'm locking this topic. If you want to stay up-to-date with updates and creation progress, visit TRE forum: 
 http://theroomzeclipse.org/forum/index.php 
 BIG BREAK! 
First 10 people who register on TRE forum will have a possibility to TEST FIRST TRE ROOM ! 
Don't hesitate, join TRE community NOW! 
_________________
 .....:::ENTER THE ROOMZ:::..... 
 Life is a room where the password is 'death' 
 Progress: Roomz: mine (45/45 +5) :p, eri's (1/2), RG's (2/2), kish's (4/4 with magic :p), jan's (3/10), puzz_hunt's (many) :p 
 I'm offering help via PMs only if you like cryptic hints :p 
 Back to top 
 Display posts from previous: All Posts 1 Day 7 Days 2 Weeks 1 Month 3 Months 6 Months 1 Year   Oldest First Newest First   
 All times are GMT + 1 H"
